,quality
491,7
1282,6
1582,7
1336,5
3147,6
4824,5
3331,6
1572,6
172,4
4797,6
992,5
3614,5
1183,6
2709,5
3010,5
2725,5
2137,5
485,5
537,6
2209,6
339,7
1300,6
1506,6
2461,5
1505,7
4173,5
648,7
2965,8
1400,5
398,5
22,5
1268,6
3278,5
539,5
3163,7
445,6
1277,6
3697,6
2962,5
198,5
4178,7
1331,6
359,6
2250,6
1110,6
1070,7
3734,5
543,6
1397,5
3262,7
2851,5
3873,5
3653,6
3856,6
275,6
4361,6
2256,5
593,5
1068,7
2978,6
989,7
4681,6
264,6
1211,5
4822,6
4314,7
2763,6
162,5
3293,7
1076,6
2957,6
2659,6
4649,5
3646,7
3796,6
1484,4
3526,6
657,7
2949,6
3684,7
1208,7
283,7
2625,5
2792,5
241,5
2969,6
657,5
1116,6
448,6
3845,5
528,6
267,5
2214,5
1387,6
911,5
1155,5
841,7
3756,5
2322,6
1814,7
3752,5
2244,5
3140,6
543,6
1004,6
4498,5
1799,6
526,4
1955,5
4490,6
1119,5
3155,7
3271,7
637,5
1544,5
4095,6
4240,6
3366,6
691,5
1927,5
2354,6
2272,6
3267,6
1415,5
4197,5
2321,5
1078,5
395,7
409,4
3029,8
2058,5
1594,6
1967,7
4413,7
4843,5
2660,6
2127,5
4133,6
2262,6
3323,6
4730,5
1594,5
2910,5
4080,6
741,5
3987,6
1035,6
1055,6
3233,6
1363,4
195,6
4047,6
287,6
261,4
3172,8
3842,6
1210,6
4268,6
4603,6
2242,5
158,5
1118,5
1535,6
2597,6
4716,6
720,5
807,7
1765,5
4209,6
667,6
1444,6
1524,6
783,8
785,5
583,7
945,7
671,6
227,6
813,4
4216,5
3367,6
4322,7
1197,7
4578,7
1239,5
718,5
721,5
2717,6
3688,6
4671,5
1552,7
900,5
554,7
651,7
4623,6
2304,6
4657,7
4577,6
862,6
3149,6
3229,7
817,6
927,7
3730,6
1332,6
952,6
3150,6
2019,6
2136,6
1263,4
776,6
4163,5
225,6
4013,6
222,7
175,5
791,7
565,6
1596,5
3732,5
3609,6
3639,6
1259,6
4161,7
799,6
1755,6
428,5
4520,5
3754,8
3281,6
1720,7
4131,5
2437,6
2797,5
3494,6
570,5
1674,6
1215,5
651,5
4118,8
1017,6
2018,7
370,5
38,4
4226,7
658,5
835,8
20,6
615,5
2738,5
1516,6
4883,6
3204,5
3423,5
1656,5
1057,5
2948,6
2264,6
681,5
2405,5
1664,4
4119,7
4596,6
1325,7
957,6
4189,5
2719,6
739,5
4869,6
4686,4
961,7
332,6
601,6
1952,7
44,5
3282,7
1063,6
4858,5
518,6
1258,6
3889,6
3931,6
720,5
520,6
1509,5
105,6
1278,6
1127,6
4048,6
173,6
3146,6
3465,6
4525,6
3606,5
3542,6
1857,5
1429,5
302,6
385,6
1039,6
1559,4
621,5
522,5
151,4
715,6
992,6
4790,6
4600,6
1932,6
2811,5
4418,6
891,5
476,7
146,6
1886,5
2241,5
4185,5
427,5
1880,5
2086,5
598,8
952,7
3041,6
2689,6
2888,4
1735,6
1397,7
3593,7
1242,7
3450,7
540,5
670,6
2604,7
892,5
522,6
765,6
1235,5
2081,5
1052,5
2680,6
1186,5
1648,5
454,5
361,5
966,7
4366,6
1148,6
83,5
190,5
3332,7
1305,7
661,5
2612,7
859,6
453,7
2916,6
3717,6
362,6
4558,6
3001,7
4384,5
3081,5
4830,6
496,4
2865,6
2051,5
32,5
401,6
1281,7
4527,6
1474,4
1150,5
4007,5
74,5
777,5
2877,5
4539,5
1911,6
4438,5
2099,5
3869,6
2014,5
4765,8
4576,5
832,3
4601,6
1836,6
2252,5
4712,6
444,6
39,5
1778,8
993,5
4140,6
590,5
111,5
4378,5
3910,6
4383,6
2391,6
3844,6
1791,5
416,6
1153,6
2791,5
847,6
3553,6
1869,7
1114,4
401,5
1233,6
4342,6
6,5
1555,7
4632,6
3395,5
228,6
731,6
653,6
1364,6
2646,7
1638,5
2727,6
434,8
4677,7
331,5
3255,6
984,5
4693,6
472,6
2367,6
3608,6
314,5
455,8
1334,6
921,6
223,6
2,5
3867,5
1553,7
2096,5
2020,6
319,6
1424,6
828,8
1048,5
3890,6
2265,5
4651,7
756,6
1004,5
2928,7
2403,6
3600,6
299,5
3094,6
2279,5
1936,6
912,5
1198,6
888,6
4072,7
1893,5
742,6
1344,8
3729,5
3286,7
3776,5
334,5
3823,5
3786,5
3849,5
3328,5
3408,6
3641,6
539,6
314,5
454,7
643,5
4059,6
106,5
441,6
3007,7
2856,7
308,7
3997,7
2892,5
2842,6
1088,6
4546,6
215,5
3467,5
578,5
1136,6
126,5
4598,6
449,7
2038,5
1774,6
4372,6
104,5
3390,6
885,7
2897,5
4064,5
647,4
880,7
3451,7
932,6
2516,6
782,5
1891,5
108,6
1646,6
4607,6
517,3
262,5
4741,6
2913,5
1432,6
1584,7
664,5
9,5
1879,6
4870,7
3740,7
439,5
905,4
3184,7
1453,5
3784,6
1494,8
239,6
2012,5
2205,5
1117,6
68,5
4233,6
364,7
772,5
1382,5
1058,6
3072,6
1347,5
2002,6
1059,7
4039,4
4658,6
4513,6
995,6
456,5
65,5
1873,5
2308,5
4399,5
2724,6
3248,7
1332,7
965,6
3361,6
3938,6
699,6
3632,6
4123,6
2622,7
1649,4
4779,4
4008,6
300,6
2779,5
3330,6
3814,5
2087,6
1578,6
519,5
4483,4
1145,6
63,6
864,5
4006,6
958,7
726,7
169,5
541,5
2737,7
4704,6
1408,7
1015,6
1214,6
3425,6
1680,5
1184,5
3103,7
1149,5
1117,5
1746,5
1056,6
829,7
4642,7
554,5
777,6
2518,7
308,6
4138,6
515,6
2482,6
869,6
2185,7
3716,5
1154,6
1302,6
3708,5
781,5
4667,7
1566,6
920,7
1898,6
304,6
1159,5
1073,6
88,5
1269,6
936,6
3105,6
1112,6
856,6
1570,6
614,6
2760,6
20,8
164,5
2515,7
891,7
169,5
4149,7
379,6
3762,5
3733,6
3573,6
4835,6
882,6
198,7
1536,5
1922,5
1319,6
1610,6
82,5
1219,6
4042,7
4345,6
4571,7
1280,6
1274,6
4452,5
2464,5
2956,6
3829,7
1500,5
3422,8
4141,6
1811,5
16,6
552,6
4505,5
4005,6
4630,7
77,7
3224,6
2441,6
1845,5
2155,5
43,5
3557,6
531,5
2401,4
1210,6
120,5
3355,6
731,5
4691,7
918,6
218,5
1433,6
2805,6
1013,6
1158,6
1089,7
2798,7
732,7
1123,5
3354,7
3843,7
555,5
1195,6
1993,6
570,6
3582,6
306,5
1658,5
3077,5
498,8
991,5
3455,6
371,6
1912,6
251,6
3382,7
1918,6
4540,6
94,4
2708,6
1032,5
4441,6
2364,5
3420,5
3886,6
1968,6
1675,5
696,6
1705,6
915,5
647,6
2839,7
4585,6
2988,7
1631,6
241,6
3176,6
1673,5
143,5
340,7
2207,7
1923,5
2432,5
1549,8
174,5
2937,5
4590,6
1415,5
4272,6
3828,6
1005,7
1583,5
4159,7
2810,7
3194,5
752,5
918,6
304,5
3989,6
1111,6
723,8
804,6
693,5
1451,7
3935,5
1265,7
951,6
423,6
3126,7
1120,6
4780,5
132,5
754,6
510,5
901,7
2299,7
2040,6
596,5
3973,4
189,5
4583,6
4461,6
1717,6
1354,5
4711,6
128,7
450,6
1763,6
4276,7
133,5
2559,5
3356,6
2036,6
4427,5
2156,4
3362,6
4593,6
2641,5
4092,6
565,5
871,5
957,7
4683,6
4036,5
4001,5
1086,7
3615,6
743,5
4130,6
4291,5
246,7
4253,4
1606,6
3114,6
4147,7
4330,5
1190,6
4400,5
1512,6
650,5
2064,6
3394,5
3257,6
3452,5
3227,6
3563,5
1252,5
1576,6
4214,5
3990,6
1575,6
3236,6
4707,6
139,5
123,6
1509,5
1079,6
309,6
3950,5
250,4
3830,7
3350,6
4528,6
678,5
1229,3
2835,6
4465,5
1114,6
848,5
1351,7
4609,4
121,6
585,6
340,6
1068,7
4093,6
1312,5
1858,5
1562,5
383,6
1033,6
521,5
2212,6
3833,6
2311,7
1121,6
1253,5
1286,7
834,5
745,6
462,5
2372,4
2803,8
625,8
2566,7
1276,4
2575,6
2085,6
3340,6
3626,5
121,5
1130,6
812,7
2453,6
3488,6
2661,6
1227,5
469,5
2021,6
711,5
642,5
3012,6
1468,5
3898,7
1429,5
2731,5
2785,5
393,6
2414,4
3439,5
970,7
722,6
3808,6
1805,5
3682,7
4451,5
1459,6
3536,6
4875,6
852,5
4853,5
1452,7
1539,5
1511,6
902,7
786,5
597,6
2061,6
52,7
4605,6
2118,6
3961,5
2845,7
1710,5
503,7
406,6
4579,6
2627,7
676,6
861,7
129,6
582,5
1919,6
17,5
3780,5
1082,6
2909,6
1331,5
1399,6
2030,6
49,5
559,6
1798,6
4230,6
1237,6
2922,8
3024,6
369,7
4636,5
29,6
4522,6
229,5
4298,6
1907,7
1297,7
2517,6
2902,5
1316,6
112,5
2546,5
3769,5
193,5
2715,6
4654,7
854,6
1191,7
2076,5
3693,7
2042,6
1020,6
3947,7
2097,5
1853,5
4081,6
2550,5
4496,6
405,5
976,6
307,6
153,5
1491,5
3014,6
2409,4
3508,5
4164,5
170,6
2041,5
2635,6
1534,6
2475,5
290,7
2276,6
3352,6
1522,5
2362,6
4592,6
1900,6
2592,5
75,5
534,6
1339,6
941,6
1357,6
4395,5
46,5
4486,6
2421,5
1283,6
3432,5
390,8
895,6
1075,7
687,4
40,6
347,6
156,5
81,5
4795,7
10,5
2980,7
710,5
1748,5
1122,6
1637,6
546,6
1859,6
3120,6
107,6
999,7
644,5
1252,6
1981,8
878,6
504,7
1561,5
4308,6
3168,6
3876,5
548,7
4616,5
1007,5
2026,5
2182,5
4499,6
574,6
420,7
776,6
243,7
1381,7
114,5
1489,6
60,6
676,6
1877,6
775,5
4294,5
2929,6
2979,7
3799,5
468,6
2799,7
3152,6
1073,5
438,6
525,6
865,5
547,6
4250,6
1571,6
474,6
3550,6
1166,5
956,5
1374,3
698,5
981,7
488,7
157,5
266,4
1306,8
4828,5
1371,7
2705,6
1344,5
2751,6
3532,6
3237,7
222,5
1528,6
950,5
4153,5
311,8
997,7
3212,5
2246,4
1095,5
2644,6
4663,7
2065,5
457,5
1962,5
491,7
2832,6
838,7
2336,5
590,5
4376,5
1000,7
514,7
1671,7
781,6
4777,6
4386,6
3701,5
2814,7
1326,6
2871,6
2658,7
1951,4
414,6
1947,5
1627,5
509,7
2124,7
3596,7
904,7
1723,8
4169,7
4282,5
357,6
566,6
2387,4
3100,7
150,7
1538,5
221,6
2513,5
3523,5
1066,7
4574,7
3547,6
831,4
280,6
2476,6
4880,6
847,5
257,7
832,8
747,5
948,4
3320,5
1038,7
3728,7
3306,7
2295,6
3097,5
1960,5
1542,6
3196,7
3965,4
3165,6
926,5
646,5
3417,4
4652,5
3636,7
1070,7
1982,8
3479,7
1267,6
843,5
2098,6
3302,6
3792,6
1029,7
1988,6
3104,5
996,5
1031,7
417,5
4661,5
2636,5
1059,4
3647,7
2963,7
1377,6
4812,7
50,6
3008,7
210,5
4818,6
2114,6
3853,7
654,5
437,8
2934,5
576,4
2013,6
542,6
202,5
1546,6
980,6
4033,6
4625,5
417,5
4257,5
1309,6
690,3
279,7
677,7
780,4
2789,5
2633,5
321,5
774,6
970,6
1818,6
4727,6
3391,8
1008,7
3242,6
2210,7
4842,6
1495,7
823,5
3667,8
2981,7
4238,5
30,6
2807,5
1159,6
1473,5
83,6
178,4
2056,5
2353,7
2671,7
3954,5
1402,6
298,6
110,6
3148,6
1367,5
363,5
1052,5
2834,6
233,5
2153,6
2941,5
3138,6
2338,5
2332,6
3710,5
344,6
3930,6
2017,5
1046,6
3664,8
2023,6
2090,5
842,6
1935,5
2451,5
403,6
569,6
735,6
1123,6
725,5
296,5
246,5
1064,6
712,5
2638,6
953,7
124,5
3805,6
1550,5
1349,5
1175,5
437,6
773,6
4212,4
2106,5
1291,6
4728,6
544,6
3654,6
1318,6
1448,6
4172,6
329,5
4810,5
3250,6
2203,5
1428,5
1689,6
1440,7
1964,5
1775,6
782,7
476,5
2418,5
938,7
1225,6
1058,7
4309,6
2984,6
481,8
893,5
4517,6
3434,6
829,6
699,5
4396,5
239,6
332,6
3078,5
807,6
2790,6
82,5
2070,6
1581,5
355,6
343,5
3578,4
445,3
3088,6
338,5
4415,5
1458,6
4157,7
533,6
407,7
4610,6
1104,6
4032,5
4389,4
4337,8
4760,6
797,7
328,6
759,5
1672,5
260,6
555,7
2974,6
2066,5
1686,5
766,5
2685,7
272,5
4454,6
1340,6
269,6
408,6
2695,6
1604,5
1980,8
857,5
3859,5
3895,6
4637,6
2650,5
2025,5
766,5
375,7
1039,5
4653,7
3292,5
3245,5
1806,5
4301,5
4897,6
3123,5
595,5
733,6
2270,7
3927,5
2584,7
